Label,cleaned_review_text,count_positive_words,count_negative_words,contain_no,contain_not,contain_exclamation,log_review_length,emotion_label,sentiment_score
0,ergonomic shape memory stick,0,0,0,0,0,3.332204510175204,1,0.0
1,light amp solid easy amp straight forward to use crisp lcd viewfinder fast bootup shutdown,4,0,0,0,0,4.499809670330265,1,0.24722222222222223
0,voice recognition phonebook manual,0,0,0,0,0,3.5263605246161616,1,0.0
1,high quality glass lens system aluminum body many image compression option,0,0,0,0,0,4.30406509320417,1,0.33
0,dark lcd pricey lack of documentation flimsy battery door,0,4,0,0,0,4.04305126783455,0,-0.15
0,break easily with a little wear and tare,0,1,0,0,0,3.6888794541139363,1,0.12291666666666667
0,none,0,0,0,0,0,1.3862943611198906,2,0.0
0,size ease of use basket size durability,1,0,0,0,0,3.6635616461296463,1,0.0
1,decent picture quality for a inexpensive camera,2,0,0,0,0,3.8501476017100584,1,0.16666666666666666
1,lightweight and small,0,0,0,0,0,3.044522437723423,0,-0.25
1,fast superb print quality,2,0,0,0,0,3.2188758248682006,1,0.6
1,price sleek expensive look design include software cable memory card and camera case image quality,1,1,0,0,0,4.584967478670572,2,-0.5
1,low cost okay print quality small,0,0,0,0,0,3.4965075614664802,0,0.08333333333333333
1,b amp w x dpi text quality be good image quality ok light,1,0,0,0,0,4.04305126783455,1,0.5333333333333333
0,  x focal length multiplication,0,0,0,0,0,3.4339872044851463,2,0.0
0,batter life not so great can not store full name if too long,1,0,0,1,0,4.0943445622221,1,0.36666666666666664
1,fix lens pretty fast feel good intuitive interface megapixel image,4,0,0,0,0,4.189654742026425,1,0.3833333333333333
0,thin but wide battery life be average price be kind of high get dirty easily,0,1,0,0,0,4.330733340286331,0,-0.008095238095238091
1,right size great feature hp quality,2,0,0,0,0,3.5553480614894135,1,0.5428571428571429
0,could do with more pixal,0,0,0,0,0,3.1780538303479458,2,0.5
0,small ink tank cheaply make paper tray I use legal paper and poor software package,0,3,0,0,0,4.406719247264253,1,-0.012499999999999997
0,no optical zoom digital zoom only smart medium,1,0,1,0,0,3.828641396489095,2,0.07142857142857142
1,bluetooth price amaze feature,1,0,0,0,0,3.367295829986474,1,0.0
1,easy to use great picture,2,0,0,0,0,3.2188758248682006,2,0.6166666666666667
1,small light stylish backlight,1,0,0,0,0,3.367295829986474,0,0.21666666666666667
0,nuffin,0,0,0,0,0,1.791759469228055,2,0.0
1,interchangable front and back cover long battery life game,0,0,0,0,0,4.060443010546419,2,-0.15
0,as with any cell phone service can be expensive,0,1,0,0,0,3.8501476017100584,2,-0.5
1,immediate access to your picture with the amp quot floppy disk feature,0,0,0,0,0,4.248495242049359,1,0.0
1,fantastic picture save money over the long run instant gratification,2,0,0,0,0,4.219507705176107,1,0.11666666666666668
1,take very good picture probably the most well round megapixel camera out there,2,0,0,0,0,4.356708826689592,1,0.4033333333333333
1,superb sound quality durability and option,1,0,0,0,0,3.7376696182833684,1,0.7
0,only mb memory stick supply rechargeable battery need,0,0,0,0,0,3.970291913552122,0,0.0
0,red eye be just like other camera no different than disposable,1,0,1,0,0,4.127134385045092,2,-0.041666666666666664
1,nice print quality quiet and quick,2,0,0,0,0,3.5263605246161616,2,0.3111111111111111
1,excellent photo,1,0,0,0,0,2.70805020110221,1,1.0
0,battery energy vampire,0,0,0,0,0,3.091042453358316,0,0.0
